"gid";"id_grid";"dir";"coor";"x";"y"
1;288;"A 5A O 48A O 27";"3.465096702027,-76.590017004132";-76.590017004132;3.465096702027
2;288;"A 5A O 48B O 10";"3.465252700677,-76.589881228879";-76.589881228879;3.465252700677
3;288;"C 50 O 5A O 04";"3.465408668535,-76.590010835506";-76.590010835506;3.465408668535
4;288;"C 50 O 5A O 21  1";"3.465816280578,-76.590345604137";-76.590345604137;3.465816280578
5;288;"A 5A O 50 O 10";"3.465764598865,-76.590371412334";-76.590371412334;3.465764598865
6;288;"A 5A O 50 O 09 0200";"3.465221515572,-76.59011205753";-76.59011205753;3.465221515572
7;288;"A 5A O 50 O 04 0200";"3.46556959805,-76.590209619111";-76.590209619111;3.46556959805
8;288;"C 50 O 5A O 16";"3.465638382255,-76.590060246009";-76.590060246009;3.465638382255
9;288;"A 5A O 50 O 04";"3.465608227842,-76.590321118989";-76.590321118989;3.465608227842
10;288;"A 5A O 50 O 09";"3.465221515572,-76.59011205753";-76.59011205753;3.465221515572
